City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Tura,IN,75.07,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
6,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
18,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Sambava,MG,76.75,light rain,-14.2667,50.1667,Melrose
28,Inisa,NG,88.54,broken clouds,7.85,4.3333,Olori Palace
31,Tuy Hoa,VN,76.24,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
38,Namatanai,PG,78.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
43,Caborca,MX,80.92,clear sky,30.5838,-111.101,Hotel Los Lagos
44,Fuerte,PH,82.26,scattered clouds,17.5381,120.3644,Giordion Inn
49,Hithadhoo,MV,85.15,scattered clouds,-0.6,73.0833,Scoop Guest House
50,Castro,BR,77.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
53,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
54,Jamestown,US,78.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
56,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
58,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
62,Caraballeda,VE,89.37,overcast clouds,10.6112,-66.8522,Hotel 15 Letras
68,Frederico Westphalen,BR,83.44,few clouds,-27.3592,-53.3944,Hotel Palace Frederico
69,Russell,US,82.9,few clouds,32.3502,-85.1999,Macs
71,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
74,Faanui,PF,80.56,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Butaritari,KI,79.84,light rain,3.0707,172.7902,Isles Sunset Lodge
78,Bubaque,GW,78.49,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
86,Biak,ID,76.68,overcast clouds,-0.9131,122.8766,Penginapan Kim
88,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Marsh Harbour,BS,75.07,few clouds,26.5412,-77.0636,Abaco Beach Resort
100,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Paracuru,BR,84.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
102,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
103,Presidencia Roque Saenz Pena,AR,87.67,scattered clouds,-26.7852,-60.4388,Hotel Gualok
105,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Kieta,PG,78.8,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
117,Grand Baie,MU,76.44,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
123,Codajas,BR,85.93,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
126,Bengkulu,ID,77.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Karratha,AU,77.94,moderate rain,-20.7377,116.8463,ibis Styles Karratha
128,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Promissao,BR,89.62,clear sky,-21.5367,-49.8581,Recanto Monte Cristo
132,Padang,ID,77.97,light rain,-0.9492,100.3543,Mercure Padang
135,Sao Filipe,CV,77.52,clear sky,14.8961,-24.4956,Hotel Xaguate
145,Tiarei,PF,77.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
148,San Patricio,US,86.18,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
149,Port Keats,AU,82.56,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
153,Isangel,VU,76.44,overcast clouds,-19.55,169.2667,Tanna Lodge
157,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
173,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Hotel Central
174,Monrovia,LR,89.37,overcast clouds,6.3005,-10.7969,Sunset Inn
178,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,San Luis,AR,80.38,clear sky,-33.295,-66.3356,Huarpes Hotel
185,San Felipe,VE,81.25,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
187,Touros,BR,86.02,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
190,Cartagena,CO,89.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
197,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
203,Divinopolis,BR,83.48,scattered clouds,-20.1389,-44.8839,Hotel Fátima
205,Meulaboh,ID,78.03,moderate rain,4.1363,96.1285,Kost Pria
207,Luanda,AO,78.12,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
208,Boyolangu,ID,76.33,broken clouds,-8.1181,111.8935,Yos ega cv
210,Oeiras Do Para,BR,83.77,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
216,Cidreira,BR,75.79,moderate rain,-30.1811,-50.2056,Hotel Castelo
218,Elizabeth City,US,85.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
220,Sechura,PE,77.13,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
226,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
235,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
236,Jacqueville,CI,80.44,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
243,Baracoa,CU,80.28,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
244,Cumberland,US,84.87,clear sky,35.0502,-78.8664,American Eagle Inn
245,Thai Binh,VN,76.41,clear sky,20.45,106.3333,Sweden Hotel
247,West Bay,KY,78.87,broken clouds,19.3667,-81.4167,Calypso Cove
248,Cururupu,BR,81.77,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
250,Hambantota,LK,81.72,broken clouds,6.1241,81.1185,Bungalow 63
255,Sabang,ID,83.86,light rain,5.8933,95.3214,Hotel Citra
266,Balingasay,PH,84.2,scattered clouds,16.3573,119.8564,Rock Garden Resort
274,Panlaitan,PH,83.68,broken clouds,12.1191,119.8486,Panlaitan Cetro Beach
275,Bandarbeyla,SO,82.96,scattered clouds,9.4942,50.8122,JABIR HOTEL
279,Mossendjo,CG,75.42,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
280,Abaetetuba,BR,83.97,broken clouds,-1.7181,-48.8825,Hotel Joanayna
285,Ajdabiya,LY,75.34,overcast clouds,30.7554,20.2263,Almadina Hotel
286,Mapanas,PH,79.21,light rain,12.475,125.2562,The Yellow House
293,Palu,ID,75.74,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
297,Porto Novo,BJ,85.26,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
298,Jalu,LY,88.79,overcast clouds,29.0331,21.5482,صاحبة الفخامة
299,Mahajanga,MG,83.97,overcast clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
304,Mecca,SA,84.76,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
306,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
314,Vanimo,PG,78.03,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
318,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
321,Salina Cruz,MX,87.76,clear sky,16.1667,-95.2,Amerik HOTEL
323,Cabanas,CU,84.38,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
325,Urucara,BR,89.6,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
327,Keti Bandar,PK,82.53,clear sky,24.1447,67.4497,Haji laloo memon house
330,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
332,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
333,Ormara,PK,82.09,clear sky,25.2088,64.6357,Kenara Colony house for Rent
336,Samarai,PG,82.35,scattered clouds,-10.6167,150.6667,Nuli Sapi
340,Rengasdengklok,ID,83.05,light rain,-6.1592,107.2981,Kost Citra Kirana Rengasdengklok
347,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
353,Guaruja,BR,82.26,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
354,Bafia,CM,82.56,scattered clouds,4.75,11.2333,Rim touristique hôtel
357,Kavaratti,IN,85.28,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
363,Wanning,CN,78.08,clear sky,18.8003,110.3967,Paradise Hotel
365,Peruibe,BR,78.78,few clouds,-24.32,-46.9983,Hotel Pousada Xapuri
373,San Estanislao,CO,89.49,overcast clouds,10.3983,-75.1511,Hostal Bugambilia
376,Honiara,SB,77.2,few clouds,-9.4333,159.95,Heritage Park Hotel
377,Laibin,CN,76.24,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
383,Morant Bay,JM,87.71,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
388,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
396,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
398,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
400,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
404,Kudahuvadhoo,MV,84.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
409,Mansa,IN,85.1,broken clouds,29.9833,75.3833,STARiHOTEL Mansa
412,Kavieng,PG,81.81,few clouds,-2.5744,150.7967,Nusa Island Retreat
425,San Juan,AR,80.44,clear sky,-31.5375,-68.5364,Hotel Provincial
429,Sorong,ID,80.92,light rain,-0.8833,131.25,Waigo Splash Hotel
433,Mancio Lima,BR,84.27,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
439,Dingle,PH,78.48,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
440,Sur,OM,88.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
441,Liku,ID,75.22,overcast clouds,-0.7275,119.8922,Wahyu
443,Piacabucu,BR,82.2,broken clouds,-10.4056,-36.4344,Piaçabuçu News
444,Santa Isabel,BR,80.31,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
448,Tecoanapa,MX,85.42,clear sky,16.5167,-98.75,Hotel Manglares
449,Mumford,GH,83.5,broken clouds,5.2618,-0.759,Spanish Villa
456,Matara,LK,79.09,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
466,Isla Mujeres,MX,84.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
469,Tamboril,DO,84.7,few clouds,19.4854,-70.611,Camp David Ranch Restaurant
470,Pyapon,MM,84.88,clear sky,16.2833,95.6833,Aung Naing Thu Motel
472,Cockburn Town,TC,77.58,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
475,Colon,PA,84.11,broken clouds,9.3592,-79.9014,Sand Diamond Hotel
476,Nouakchott,MR,80.53,few clouds,18.0858,-15.9785,HOTEL IMAN
483,Sal Rei,CV,80.8,clear sky,16.1833,-22.9167,Marine Club Beach Resort
487,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
488,Morondava,MG,81.91,overcast clouds,-20.2833,44.2833,La Case Bambou
489,Zabid,YE,88.2,scattered clouds,14.1951,43.3152,مغرب التريبه
495,Daru,PG,78.89,overcast clouds,-9.0763,143.2092,Daru Lodge
503,Maragogi,BR,81.9,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
504,Auki,SB,77.4,broken clouds,-8.7676,160.7034,Auki Motel
507,Itarema,BR,78.91,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
516,Nabire,ID,77.02,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
520,Marrakesh,MA,77.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
523,San Rafael Del Sur,NI,88.77,few clouds,11.8485,-86.4384,Hospedaje El Chino
525,Banda Aceh,ID,80.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
527,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
528,Weligama,LK,79.47,overcast clouds,5.9667,80.4167,Weligama Bay Resort
529,Nueva Gerona,CU,81.77,broken clouds,21.8833,-82.8,Villa Gerona
533,Galveston,US,87.06,broken clouds,29.3669,-94.9669,Crystal Suites
534,Celestun,MX,87.67,clear sky,20.8667,-90.4,Posada Lilia
535,Bheramara,BD,87.75,clear sky,24.0232,88.9925,Govt Guest House (Dac Banglo)
536,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
538,San Policarpo,PH,81.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
542,Soc Trang,VN,82.15,broken clouds,9.6033,105.98,Phu Quy Hotel
544,Takoradi,GH,83.5,light rain,4.8845,-1.7554,Raybow International Hotel
548,Houma,US,87.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
555,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
556,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
557,Bambanglipuro,ID,78.15,broken clouds,-7.95,110.2833,Puri Brata
559,Ouesso,CG,80.74,overcast clouds,1.6136,16.0517,ABENIE Hotel
560,Doha,QA,85.98,dust,25.2867,51.5333,Movenpick Hotel Doha
561,Tabou,CI,82.06,light rain,4.423,-7.3528,hotêl doufoulougou
563,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Hotel Gaudi
564,Najran,SA,77.65,light rain,17.4924,44.1277,محمد هادي ال فطيح
569,Santiago Del Estero,AR,89.47,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
571,Lorengau,PG,80.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
578,Kikwit,CD,75.22,moderate rain,-5.041,18.8162,HOTEL PLACE YALABA
579,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
580,Buala,SB,80.17,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
582,Anloga,GH,84.43,few clouds,5.7947,0.8973,Pin Drop Hotel
584,Luang Prabang,LA,76.86,clear sky,19.8856,102.1347,The Apsara
585,Harper,LR,81.18,light rain,4.375,-7.7169,Screensaver
589,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
590,Bontang,ID,77.45,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
591,Bodden Town,KY,78.8,broken clouds,19.2833,-81.25,Will T Place
593,Chulumani,BO,81.39,broken clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
598,Shimoni,KE,81.88,overcast clouds,-4.6476,39.3817,Shimoni Reef Lodge
609,Sinnamary,GF,83.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
610,Chapada Dos Guimaraes,BR,85.66,few clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
619,Cairns,AU,76.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
620,Natal,BR,88.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
621,Kralendijk,BQ,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
622,Caiaponia,BR,87.53,few clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
624,Hobyo,SO,84.02,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
626,Artigas,UY,77.16,light rain,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
632,Manadhoo,MV,85.01,broken clouds,5.7667,73.3833,Bon Abri maldives
635,Ambovombe,MG,76.46,overcast clouds,-25.1667,46.0833,RELAHARA
636,Mahina,PF,76.77,light rain,-17.5065,-149.489,Relais de la Maroto
641,Mapiripan,CO,82.11,overcast clouds,2.8892,-72.1256,Monserrate
643,Sakakah,SA,78.37,light rain,29.9697,40.2064,Fakhamat Al Orjoana Apartment
646,Bo Phloi,TH,89.31,light rain,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
647,Palauig,PH,82.96,scattered clouds,15.435,119.9045,Alperi Botique Resort
651,Jiwani,PK,83.14,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
653,Lamu,KE,84.42,overcast clouds,-2.2717,40.902,Lamu House
654,Bam,IR,85.66,scattered clouds,29.106,58.357,Bam Tourist Hotel
655,Basco,PH,81.41,clear sky,20.4487,121.9702,Nathaniel's Lodge
657,Caravelas,BR,84.22,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
658,Iralaya,HN,80.65,few clouds,15.0,-83.2333,Iglesia morava renovada
662,Manokwari,ID,78.76,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
663,Fougamou,GA,78.17,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
667,Eyl,SO,82.53,scattered clouds,7.9803,49.8164,Amiin Hotel
676,Suez,EG,76.59,clear sky,29.9737,32.5263,Green House
677,Mazamari,PE,86.56,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
683,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
684,Wajir,KE,89.31,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
688,Manggar,ID,81.57,moderate rain,-2.8833,108.2667,Guest Hotel
690,Banjar,ID,77.65,scattered clouds,-8.19,114.9675,The Hamsa Resort
697,Mangrol,IN,83.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
698,Labuhan,ID,79.5,overcast clouds,-6.8844,112.2051,DoubleFAG
700,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
701,Korba,IN,85.1,clear sky,22.35,82.6833,Hotel Deendayal
705,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
709,Akyab,MM,83.21,few clouds,20.15,92.9,Hotel Memory
710,Prainha,BR,85.44,broken clouds,-1.8,-53.48,Casa Rocha
716,Buenos Aires,AR,78.01,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
718,Tefe,BR,82.51,scattered clouds,-3.3542,-64.7114,Aracati Hotel
719,Sao Miguel Do Araguaia,BR,88.95,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
723,Sumbe,AO,76.8,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
